standard,advanced,delayed
2750,2950,2600
2300,2950,2900
2500,2350,2800
2950,2550,2750
3000,3000,2650
2450,2800,2750
2900,2800,2750
2850,2650,2650
2900,2650,2550
2350,2400,2350
2850,2700,2750
2700,2900,2950
2450,2650,2950
2950,2550,2600
2350,2700,2800
2700,2600,2650
2800,3000,2700
2900,2850,2350
2550,2250,2700
2450,2700,2600
2300,2600,2450
3000,3000,2900
2600,2350,2950
3000,2250,2250
2700,2250,2550
2500,2900,2450
2800,2650,2550
